TCGA-2A-A8VL-01	TCGA-2A-A8VL-10
TCGA-KK-A59X-01	TCGA-KK-A59X-11
TCGA-KK-A59Y-01	TCGA-KK-A59Y-11
TCGA-KK-A59Z-01	TCGA-KK-A59Z-11
TCGA-KK-A5A1-01	TCGA-KK-A5A1-11
TCGA-KK-A6DY-01	TCGA-KK-A6DY-11
TCGA-KK-A6E0-01	TCGA-KK-A6E0-11
TCGA-KK-A6E1-01	TCGA-KK-A6E1-11
TCGA-KK-A6E2-01	TCGA-KK-A6E2-11
TCGA-KK-A6E3-01	TCGA-KK-A6E3-11
TCGA-KK-A6E4-01	TCGA-KK-A6E4-11
TCGA-KK-A6E5-01	TCGA-KK-A6E5-11
TCGA-KK-A6E6-01	TCGA-KK-A6E6-11
TCGA-KK-A6E7-01	TCGA-KK-A6E7-11
TCGA-KK-A6E8-01	TCGA-KK-A6E8-11
TCGA-KK-A7AP-01	TCGA-KK-A7AP-11
TCGA-KK-A7AQ-01	TCGA-KK-A7AQ-11
TCGA-KK-A7AU-01	TCGA-KK-A7AU-11
TCGA-KK-A7AV-01	TCGA-KK-A7AV-11
TCGA-KK-A7AW-01	TCGA-KK-A7AW-11
TCGA-KK-A7AY-01	TCGA-KK-A7AY-11
TCGA-KK-A7AZ-01	TCGA-KK-A7AZ-11
TCGA-KK-A7B0-01	TCGA-KK-A7B0-11
TCGA-KK-A7B1-01	TCGA-KK-A7B1-11
TCGA-KK-A7B2-01	TCGA-KK-A7B2-11
TCGA-KK-A7B3-01	TCGA-KK-A7B3-11
TCGA-KK-A7B4-01	TCGA-KK-A7B4-11
TCGA-KK-A8I4-01	TCGA-KK-A8I4-11
TCGA-KK-A8I5-01	TCGA-KK-A8I5-11
TCGA-KK-A8I6-01	TCGA-KK-A8I6-11
TCGA-KK-A8I7-01	TCGA-KK-A8I7-11
TCGA-KK-A8I8-01	TCGA-KK-A8I8-11
TCGA-KK-A8I9-01	TCGA-KK-A8I9-11
TCGA-KK-A8IA-01	TCGA-KK-A8IA-11
TCGA-KK-A8IB-01	TCGA-KK-A8IB-11
TCGA-KK-A8IC-01	TCGA-KK-A8IC-11
TCGA-KK-A8ID-01	TCGA-KK-A8ID-11
TCGA-KK-A8IF-01	TCGA-KK-A8IF-11
TCGA-KK-A8IG-01	TCGA-KK-A8IG-11
TCGA-KK-A8IH-01	TCGA-KK-A8IH-11
TCGA-KK-A8II-01	TCGA-KK-A8II-11
TCGA-KK-A8IJ-01	TCGA-KK-A8IJ-11
TCGA-KK-A8IK-01	TCGA-KK-A8IK-11
TCGA-KK-A8IL-01	TCGA-KK-A8IL-11
TCGA-KK-A8IM-01	TCGA-KK-A8IM-11
TCGA-M7-A71Y-01	TCGA-M7-A71Y-10
TCGA-M7-A71Z-01	TCGA-M7-A71Z-10
TCGA-M7-A720-01	TCGA-M7-A720-10
TCGA-M7-A721-01	TCGA-M7-A721-10
TCGA-M7-A722-01	TCGA-M7-A722-10
TCGA-M7-A723-01	TCGA-M7-A723-10
TCGA-M7-A724-01	TCGA-M7-A724-10
TCGA-M7-A725-01	TCGA-M7-A725-10
TCGA-MG-AAMC-01	TCGA-MG-AAMC-10
TCGA-QU-A6IL-01	TCGA-QU-A6IL-10
TCGA-QU-A6IM-01	TCGA-QU-A6IM-10
TCGA-QU-A6IN-01	TCGA-QU-A6IN-10
TCGA-QU-A6IO-01	TCGA-QU-A6IO-10
TCGA-QU-A6IP-01	TCGA-QU-A6IP-10
TCGA-SU-A7E7-01	TCGA-SU-A7E7-10
TCGA-TK-A8OK-01	TCGA-TK-A8OK-10
TCGA-TP-A8TT-01	TCGA-TP-A8TT-10
TCGA-TP-A8TV-01	TCGA-TP-A8TV-10
TCGA-V1-A8MF-01	TCGA-V1-A8MF-10
TCGA-V1-A8MG-01	TCGA-V1-A8MG-10
TCGA-V1-A8MJ-01	TCGA-V1-A8MJ-10
TCGA-V1-A8MK-01	TCGA-V1-A8MK-10
TCGA-V1-A8ML-01	TCGA-V1-A8ML-10
TCGA-V1-A8MM-01	TCGA-V1-A8MM-10
TCGA-V1-A8MU-01	TCGA-V1-A8MU-10
TCGA-V1-A8WL-01	TCGA-V1-A8WL-10
TCGA-V1-A8WN-01	TCGA-V1-A8WN-10
TCGA-V1-A8WS-01	TCGA-V1-A8WS-10
TCGA-V1-A8WV-01	TCGA-V1-A8WV-10
TCGA-V1-A8WW-01	TCGA-V1-A8WW-10
TCGA-V1-A8X3-01	TCGA-V1-A8X3-10
TCGA-V1-A9O5-01	TCGA-V1-A9O5-10
TCGA-V1-A9O7-01	TCGA-V1-A9O7-10
TCGA-V1-A9O9-01	TCGA-V1-A9O9-10
TCGA-V1-A9OA-01	TCGA-V1-A9OA-10
TCGA-V1-A9OF-01	TCGA-V1-A9OF-10
TCGA-V1-A9OH-01	TCGA-V1-A9OH-10
TCGA-V1-A9OL-01	TCGA-V1-A9OL-10
TCGA-V1-A9OQ-01	TCGA-V1-A9OQ-10
TCGA-V1-A9OT-01	TCGA-V1-A9OT-10
TCGA-V1-A9OX-01	TCGA-V1-A9OX-10
TCGA-V1-A9OY-01	TCGA-V1-A9OY-10
TCGA-V1-A9Z7-01	TCGA-V1-A9Z7-10
TCGA-V1-A9Z8-01	TCGA-V1-A9Z8-10
TCGA-V1-A9Z9-01	TCGA-V1-A9Z9-10
TCGA-V1-A9ZG-01	TCGA-V1-A9ZG-10
TCGA-V1-A9ZI-01	TCGA-V1-A9ZI-10
TCGA-V1-A9ZK-01	TCGA-V1-A9ZK-10
TCGA-V1-A9ZR-01	TCGA-V1-A9ZR-10
TCGA-VN-A88I-01	TCGA-VN-A88I-10
TCGA-VN-A88K-01	TCGA-VN-A88K-10
TCGA-VN-A88L-01	TCGA-VN-A88L-10
TCGA-VN-A88M-01	TCGA-VN-A88M-10
TCGA-VN-A88N-01	TCGA-VN-A88N-10
TCGA-VN-A88O-01	TCGA-VN-A88O-10
TCGA-VN-A88P-01	TCGA-VN-A88P-10
TCGA-VN-A88Q-01	TCGA-VN-A88Q-10
TCGA-VN-A88R-01	TCGA-VN-A88R-10
TCGA-VN-A943-01	TCGA-VN-A943-10
TCGA-VP-A872-01	TCGA-VP-A872-10
TCGA-VP-A875-01	TCGA-VP-A875-10
TCGA-VP-A876-01	TCGA-VP-A876-10
