purity	ploidy	sample
0.75	2	TCGA-CH-5752-01
0.82	1.9	TCGA-CH-5753-01
0.64	2	TCGA-CH-5754-01
0.53	4.2	TCGA-CH-5761-01
0.29	2	TCGA-CH-5762-01
0.38	2	TCGA-CH-5763-01
0.53	1.9	TCGA-CH-5764-01
0.74	1.9	TCGA-CH-5765-01
0.27	5.6	TCGA-CH-5766-01
0.82	2	TCGA-CH-5767-01
0.68	2	TCGA-CH-5768-01
0.35	1.9	TCGA-CH-5769-01
0.3	1.9	TCGA-CH-5771-01
0.44	1.9	TCGA-CH-5772-01
0.84	2.1	TCGA-CH-5788-01
0.97	2	TCGA-CH-5789-01
0.79	1.9	TCGA-CH-5790-01
0.66	1.9	TCGA-CH-5791-01
0.36	1.8	TCGA-CH-5792-01
0.57	2	TCGA-CH-5794-01
0.1	1.8	TCGA-EJ-5494-01
0.32	2.1	TCGA-EJ-5495-01
0.43	2	TCGA-EJ-5496-01
0.41	2	TCGA-EJ-5497-01
0.3	2	TCGA-EJ-5498-01
0.46	1.9	TCGA-EJ-5499-01
0.39	1.9	TCGA-EJ-5501-01
0.33	1.9	TCGA-EJ-5502-01
0.25	2	TCGA-EJ-5503-01
0.34	1.9	TCGA-EJ-5504-01
0.42	2	TCGA-EJ-5505-01
0.52	2	TCGA-EJ-5506-01
0.47	3.7	TCGA-EJ-5507-01
0.37	2	TCGA-EJ-5508-01
0.55	1.8	TCGA-EJ-5509-01
0.36	2.1	TCGA-EJ-5510-01
0.79	2	TCGA-EJ-5511-01
0.38	2	TCGA-EJ-5512-01
0.32	5.9	TCGA-EJ-5514-01
0.1	2	TCGA-EJ-5515-01
0.1	3.2	TCGA-EJ-5516-01
0.69	1.9	TCGA-EJ-5517-01
0.51	2	TCGA-EJ-5518-01
0.66	1.9	TCGA-EJ-5519-01
0.39	1.9	TCGA-EJ-5521-01
0.39	1.9	TCGA-EJ-5522-01
0.43	1.9	TCGA-EJ-5524-01
0.85	2.1	TCGA-EJ-5525-01
0.48	2	TCGA-EJ-5526-01
0.31	2	TCGA-EJ-5527-01
0.48	1.9	TCGA-EJ-5530-01
0.96	1.9	TCGA-EJ-5531-01
0.67	2	TCGA-EJ-5532-01
0.38	2	TCGA-EJ-5542-01
0.53	1.8	TCGA-EJ-7115-01
0.29	1.9	TCGA-EJ-7123-01
0.36	1.9	TCGA-EJ-7125-01
0.44	1.9	TCGA-EJ-7218-01
0.73	1.8	TCGA-EJ-7312-01
0.6	2	TCGA-EJ-7314-01
0.62	1.9	TCGA-EJ-7315-01
0.65	1.9	TCGA-EJ-7317-01
0.43	2	TCGA-EJ-7318-01
0.45	2	TCGA-EJ-7321-01
0.79	2	TCGA-EJ-7325-01
0.1	2	TCGA-EJ-7327-01
0.37	2	TCGA-EJ-7328-01
0.2	2.1	TCGA-EJ-7330-01
0.4	2	TCGA-EJ-7331-01
0.52	1.9	TCGA-EJ-7781-01
0.74	1.7	TCGA-EJ-7782-01
0.1	1.6	TCGA-EJ-7783-01
0.65	4.3	TCGA-EJ-7784-01
0.38	1.9	TCGA-EJ-7785-01
0.38	1.9	TCGA-EJ-7786-01
0.69	1.9	TCGA-EJ-7788-01
