C529.TCGA-2A-A8VL-01A-21D-A377-08.1 C529.TCGA-2A-A8VL-10A-01D-A37A-08.1
C529.TCGA-EJ-7317-01A-31D-2114-08.1 C529.TCGA-EJ-7317-10A-01D-2114-08.1
C529.TCGA-EJ-7318-01B-11D-A32B-08.2 C529.TCGA-EJ-7318-10A-01D-A329-08.2
C529.TCGA-EJ-7321-01A-31D-2260-08.1 C529.TCGA-EJ-7321-10A-01D-2260-08.1
C529.TCGA-EJ-7325-01B-11D-A32B-08.4 C529.TCGA-EJ-7325-10A-01D-A329-08.4
C529.TCGA-EJ-7327-01A-11D-2114-08.2 C529.TCGA-EJ-7327-10A-01D-2114-08.2
C529.TCGA-EJ-7328-01A-31D-2114-08.1 C529.TCGA-EJ-7328-10A-01D-2114-08.1
C529.TCGA-EJ-7330-01A-11D-2114-08.2 C529.TCGA-EJ-7330-10A-01D-2114-08.1
C529.TCGA-EJ-7331-01A-11D-2114-08.1 C529.TCGA-EJ-7331-10A-01D-2114-08.1
C529.TCGA-EJ-7781-01A-11D-2114-08.2 C529.TCGA-EJ-7781-10A-01D-2114-08.2
C529.TCGA-EJ-7782-01A-11D-2114-08.4 C529.TCGA-EJ-7782-10A-01D-2114-08.5
C529.TCGA-EJ-7783-01A-11D-2114-08.1 C529.TCGA-EJ-7783-10A-01D-2114-08.1
C529.TCGA-EJ-7784-01A-11D-2114-08.1 C529.TCGA-EJ-7784-10A-01D-2114-08.1
C529.TCGA-EJ-7785-01A-11D-2114-08.2 C529.TCGA-EJ-7785-10A-01D-2114-08.2
C529.TCGA-EJ-7786-01A-11D-2114-08.1 C529.TCGA-EJ-7786-10A-01D-2114-08.1
C529.TCGA-EJ-7788-01A-11D-2114-08.1 C529.TCGA-EJ-7788-10A-01D-2114-08.1
C529.TCGA-EJ-7789-01A-11D-2114-08.1 C529.TCGA-EJ-7789-10A-01D-2114-08.1
C529.TCGA-EJ-7791-01A-11D-2114-08.2 C529.TCGA-EJ-7791-10A-01D-2115-08.2
C529.TCGA-EJ-7792-01A-11D-2114-08.2 C529.TCGA-EJ-7792-10A-01D-2115-08.2
C529.TCGA-EJ-7793-01A-31D-2260-08.1 C529.TCGA-EJ-7793-10A-01D-2260-08.1
C529.TCGA-EJ-7794-01A-11D-2114-08.1 C529.TCGA-EJ-7794-10A-01D-2115-08.1
C529.TCGA-EJ-7797-01A-11D-2260-08.1 C529.TCGA-EJ-7797-10A-01D-2260-08.1
